date,time,action,strategy,product,code,option_type,strike,expiry,price,quantity,fee,pnl,nav,iv_residual
2026-01-06,vwap,open_buy,S3,lc,GFEX.lc2603-P-122000,P,122000.0,2026-02-06,4810.0,8,0.0,0.0,10000000.0,0.0
2026-01-06,vwap,open_sell,S3,lc,GFEX.lc2603-P-118000,P,118000.0,2026-02-06,2340.0,16,0.0,0.0,10000000.0,-0.0261
2026-01-06,vwap,open_buy,S3,lc,GFEX.lc2603-C-134000,C,134000.0,2026-02-06,8371.0,6,0.0,0.0,10000000.0,0.0
2026-01-06,vwap,open_sell,S3,lc,GFEX.lc2603-C-138000,C,138000.0,2026-02-06,6699.7354,12,0.0,0.0,10000000.0,0.0278
2026-01-06,vwap,open_sell,S1,lc,GFEX.lc2603-P-110000,P,110000.0,2026-02-06,1122.5,24,0.0,0.0,10000000.0,-0.0104
2026-01-06,vwap,open_buy,S1,lc,GFEX.lc2603-P-116000,P,116000.0,2026-02-06,2204.2857,12,0.0,0.0,10000000.0,0.0
2026-01-06,vwap,open_buy,S4,lc,GFEX.lc2603-P-72000,P,72000.0,2026-02-06,20.0,5,0.0,0.0,10000000.0,0.0
2026-01-06,vwap,open_buy,S4,lc,GFEX.lc2603-C-146000,C,146000.0,2026-02-06,4540.5122,1,0.0,0.0,10000000.0,0.0
2026-01-06,vwap,open_buy,S3,v,DCE.v2602-P-4400,P,4400.0,2026-01-20,10.5238,56,0.0,0.0,10000000.0,0.0
2026-01-06,vwap,open_sell,S3,v,DCE.v2602-P-4250,P,4250.0,2026-01-20,2.0,168,0.0,0.0,10000000.0,-0.0079
2026-01-06,vwap,open_buy,S3,v,DCE.v2602-C-4850,C,4850.0,2026-01-20,14.6656,79,0.0,0.0,10000000.0,0.0
2026-01-06,vwap,open_sell,S3,v,DCE.v2602-C-4950,C,4950.0,2026-01-20,9.26,158,0.0,0.0,10000000.0,0.0207
2026-01-06,vwap,open_sell,S1,v,DCE.v2602-P-4400,P,4400.0,2026-01-20,9.5238,162,0.0,0.0,10000000.0,-0.019
2026-01-06,vwap,open_buy,S1,v,DCE.v2602-P-4500,P,4500.0,2026-01-20,31.8038,81,0.0,0.0,10000000.0,0.0
2026-01-06,vwap,open_sell,S1,v,DCE.v2602-C-4850,C,4850.0,2026-01-20,13.6656,152,0.0,0.0,10000000.0,0.0058
2026-01-06,vwap,open_buy,S1,v,DCE.v2602-C-4750,C,4750.0,2026-01-20,25.2088,76,0.0,0.0,10000000.0,0.0
2026-01-06,vwap,open_buy,S4,v,DCE.v2602-P-3850,P,3850.0,2026-01-20,1.0,5,0.0,0.0,10000000.0,0.0
2026-01-06,vwap,open_buy,S4,v,DCE.v2602-C-6200,C,6200.0,2026-01-20,1.5513,5,0.0,0.0,10000000.0,0.0
2026-01-06,vwap,open_buy,S3,si,GFEX.si2603-P-8300,P,8300.0,2026-02-06,101.0,41,0.0,0.0,10000000.0,0.0
2026-01-06,vwap,open_sell,S3,si,GFEX.si2603-P-8000,P,8000.0,2026-02-06,39.0,82,0.0,0.0,10000000.0,-0.0017
2026-01-06,vwap,open_buy,S3,si,GFEX.si2603-C-9200,C,9200.0,2026-02-06,133.0,31,0.0,0.0,10000000.0,0.0
2026-01-06,vwap,open_sell,S3,si,GFEX.si2603-C-9400,C,9400.0,2026-02-06,96.0,62,0.0,0.0,10000000.0,0.0102
2026-01-06,vwap,open_sell,S1,si,GFEX.si2603-P-8000,P,8000.0,2026-02-06,39.0,83,0.0,0.0,10000000.0,-0.0017
2026-01-06,vwap,open_buy,S1,si,GFEX.si2603-P-8300,P,8300.0,2026-02-06,101.0,41,0.0,0.0,10000000.0,0.0
2026-01-06,vwap,open_sell,S1,si,GFEX.si2603-C-10000,C,10000.0,2026-02-06,24.0,77,0.0,0.0,10000000.0,-0.0102
2026-01-06,vwap,open_buy,S1,si,GFEX.si2603-C-9300,C,9300.0,2026-02-06,103.0,38,0.0,0.0,10000000.0,0.0
2026-01-06,vwap,open_buy,S4,si,GFEX.si2603-P-8000,P,8000.0,2026-02-06,41.0,5,0.0,0.0,10000000.0,0.0
2026-01-06,vwap,open_buy,S4,si,GFEX.si2603-C-12000,C,12000.0,2026-02-06,11.0,5,0.0,0.0,10000000.0,0.0
2026-01-06,vwap,open_buy,S3,p,DCE.p2602-P-8100,P,8100.0,2026-01-20,15.7471,15,0.0,0.0,10000000.0,0.0
2026-01-06,vwap,open_sell,S3,p,DCE.p2602-P-7800,P,7800.0,2026-01-20,4.4038,45,0.0,0.0,10000000.0,0.0115
2026-01-06,vwap,open_buy,S3,p,DCE.p2602-C-8900,C,8900.0,2026-01-20,17.6454,22,0.0,0.0,10000000.0,0.0
2026-01-06,vwap,open_sell,S3,p,DCE.p2602-C-9100,C,9100.0,2026-01-20,6.2679,44,0.0,0.0,10000000.0,-0.0009
2026-01-06,vwap,open_sell,S1,p,DCE.p2602-P-8100,P,8100.0,2026-01-20,14.7471,43,0.0,0.0,10000000.0,0.0028
2026-01-06,vwap,open_buy,S1,p,DCE.p2602-P-8200,P,8200.0,2026-01-20,24.4546,21,0.0,0.0,10000000.0,0.0
