entry_date,product,exchange,contract_code,option_type,target_expiry,dte,trend_20d,delta,close_oi,volume,entry_price,strike,spot_close,sell_side,side_rule,put_iv_pressure,call_iv_pressure,selected_side_iv_pressure,other_side_iv_pressure,side_iv_pressure_diff,qty,target_qty,qty_fill_ratio,premium_cash,target_premium_cash,target_premium_pct,budget_group,current_group_premium_cash_before,group_premium_budget_cash,group_premium_cap_cash,portfolio_group_premium_cap_pct_nav,capped_by_group_premium,corr_peer_count,corr_peer_products,current_corr_premium_cash_before,corr_premium_budget_cash,corr_premium_cap_cash,portfolio_corr_premium_cap_pct_nav,portfolio_corr_threshold,capped_by_corr_premium,portfolio_group_margin_trigger_pct_nav,portfolio_group_new_trade_cap_after_trigger_pct_nav,group_margin_trigger_margin_pct,group_margin_trigger_budget_cash,capped_by_group_margin_trigger,margin_cash,current_margin_cash_before,post_open_margin_pct_nav,margin_budget_cash,one_lot_margin_cash,max_qty_by_margin,capped_by_margin,entry_reason,strategy_layer,reentry_count,trigger_contract_code,trigger_entry_price,trigger_last_price,trigger_decay_ratio,overlay_atm_iv,overlay_iv_percentile,overlay_iv_prior_days,overlay_atm_option_obs,overlay_signal_rule,overlay_trigger_trade_date,overlay_atm_iv_lag1,overlay_atm_iv_lag2,overlay_atm_iv_lag3,overlay_atm_iv_lag4,overlay_iv_percentile_lag1,overlay_iv_percentile_lag2,overlay_iv_percentile_lag3,overlay_iv_percentile_lag4,overlay_trigger_iv_percentile,overlay_tier_threshold,overlay_tier_max_abs_delta,overlay_tier_target_premium_pct,overlay_iv_pullback_pct,overlay_entry_iv_rebound_pct,overlay_strategy,overlay_signal_family,overlay_side_rule,overlay_priority,forced_sell_side,risk_reversal_lag1,risk_reversal_lag2,risk_reversal_lag3,abs_risk_reversal_lag1,abs_risk_reversal_lag2,abs_risk_reversal_lag3,put_iv_lag1,call_iv_lag1,put_iv_lag2,call_iv_lag2,put_iv_lag3,call_iv_lag3,term_spread_lag1,term_spread_lag2,term_spread_lag3,near_atm_iv_lag1,next_atm_iv_lag1,near_atm_iv_lag2,next_atm_iv_lag2,near_atm_iv_lag3,next_atm_iv_lag3,t1_trend_20d,t1_side,t1_trend_conflict,t1_side_skip_reason
2022-01-25,AL,SHFE,SHFE.al2203P19000,P,2022-02-22,28,,-0.0506634823524168,1049.0,843.0,35.0,19000.0,21390.0,P,high_iv_pressure,0.2706656572809765,,0.2706656572809765,,,285,285,1.0,49875.0,49875.0,0.001,AL|P,,,,,False,0,,,,,,,False,,,0.0,,False,1573912.5,0.0,0.03147825,35000000.0,5522.5,6337,False,monthly,monthly,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,SR,CZCE,CZCE.SR205C6500,C,2022-04-07,56,0.0076963442364876,0.0666795431222983,6187.0,1405.0,12.5,6500.0,5761.0,C,high_iv_pressure,0.1333961988756422,0.2125007277898868,0.2125007277898868,0.1333961988756422,0.0791045289142446,400,400,1.0,50000.0,50000.0,0.001,SR|C,,,,,False,0,,,,,,,False,,,0.031450463515484,,False,1202200.0,1573912.5,0.0554732393929962,33457010.0,3005.5,11131,False,monthly,monthly,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-18,CF,CZCE,CZCE.CF205P17000,P,2022-04-07,48,,-0.0288838441879619,2976.0,488.0,31.0,17000.0,21325.0,P,risk_reversal_t1_forced_rich_side,,,,,,80,80,1.0,12400.0,12400.0,0.00025,CF|P,,,,,False,0,,,,,,,False,,,0.0554390636849407,,False,438900.0,2776112.5,0.0642039120299989,32276405.0,5486.25,5883,False,iv_extreme_overlay,overlay2_risk_reversal_same_sign,0,,,,,0.1284509664307946,0.98050139275766,362.0,33.0,t3_p95_rr_2d_repair_same_sign,2022-02-15,0.1153030976042915,0.1167584746017494,0.1233507824852733,0.1198297098445267,0.9584487534626038,0.9638888888888888,0.98050139275766,0.9748603351955308,0.98050139275766,0.95,0.03,0.00025,,,overlay2_risk_reversal_same_sign,overlay2_risk_reversal_same_sign,risk_reversal_t1_forced_rich_side,2.0,P,-0.1153030976042915,-0.1167584746017494,-0.1233507824852733,0.1153030976042915,0.1167584746017494,0.1233507824852733,0.2986927773630735,0.1833896797587819,0.3031033766479328,0.1863449020461833,0.3078064617992616,0.1844556793139883,,,,,,,,,,,,,
2022-02-23,AL,SHFE,SHFE.al2204P20000,P,2022-03-25,30,0.0702167766258246,-0.0324015851856704,2088.0,453.0,21.0,20000.0,22710.0,P,high_iv_pressure,0.2479044908452642,,0.2479044908452642,,,476,476,1.0,49980.0,49980.0,0.001,AL|P,,,,,False,0,,,,,,,False,,,0.0327665099154581,,False,2752470.0,1641100.0,0.087722841368143,33418172.5,5782.5,5779,False,monthly,monthly,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-23,AU,SHFE,SHFE.au2204C424,C,2022-03-25,30,0.0327207054074152,0.0682391964208249,2895.0,1723.0,0.64,424.0,388.84,C,high_iv_pressure,,0.1952594163184167,0.1952594163184167,,,78,78,1.0,49920.0,49920.0,0.001,AU|C,,,,,False,0,,,,,,,False,,,0.087722841368143,,False,3531403.199999999,4393570.0,0.1582314989565171,30665702.5,45274.39999999999,677,False,monthly,monthly,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-08,CU,SHFE,SHFE.cu2204P62000,P,2022-03-25,17,,-0.0217678572773351,1831.0,470.0,50.0,62000.0,72920.0,P,term_structure_t1_high_iv_pressure,,,,,,49,49,1.0,12250.0,12250.0,0.00025,CU|P,,,,,False,0,,,,,,,False,,,0.1614033852870693,,False,905520.0,7924973.199999999,0.1798455919364429,26445317.3,18480.0,1431,False,iv_extreme_overlay,overlay3_term_structure_cluster_cap2,0,,,,,0.0193949417611922,0.9934497816593888,461.0,28.0,t3_p95_term_2d_repair_t1_no_trend_conflict_cluster_cap2,2022-03-04,0.0106347105842447,0.0316343446718898,0.0386552906889914,0.0077790147835521,0.758695652173913,0.9782135076252724,0.9934497816593888,0.6827133479212254,0.9934497816593888,0.95,0.03,0.00025,,,overlay3_term_structure_cluster_cap2,overlay3_term_structure_cluster_cap2,term_structure_t1_high_iv_pressure,3.0,P,,,,,,,,,,,,,0.0106347105842447,0.0316343446718898,0.0386552906889914,0.2420766274577262,0.2314419168734815,0.2546256091515095,0.2229912644796197,0.2551551902922768,0.2164998996032854,0.0215250422059651,P,False,
2022-03-11,TA,CZCE,CZCE.TA205P4750,P,2022-04-07,27,,-0.035803386408877,1035.0,281.0,12.5,4750.0,6030.0,P,,0.5429169143792576,,0.5429169143792576,,,199,199,1.0,12437.5,12437.5,0.00025,TA|P,,,,,False,0,,,,,,,False,,,0.1771764921395113,,False,312430.0,8830493.2,0.1834451399019203,26057573.3,1570.0,16597,False,iv_extreme_overlay,overlay1_high_iv_pullback,0,,,,,0.4324968748702898,1.0,402.0,36.0,t4_p95_pullback_3d,2022-03-07,0.4748810757228101,0.4988157581804567,0.5032676430582445,0.5134733159794684,0.9925187032418952,0.995,0.9974937343358397,1.0,1.0,0.95,0.04,0.00025,,,overlay1_high_iv_pullback,overlay1_high_iv_pullback,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-14,RM,CZCE,CZCE.RM205P3200,P,2022-04-07,24,,-0.0381729341607679,2554.0,865.0,9.0,3200.0,4044.0,P,,0.6458535942176086,,0.6458535942176086,,,138,138,1.0,12420.0,12420.0,0.00025,RM|P,,,,,False,0,,,,,,,False,,,0.1829769507244416,,False,291456.0,9142923.2,0.1888098478169538,25834412.55,2112.0,12232,False,iv_extreme_overlay,overlay1_high_iv_pullback,0,,,,,0.3770008415366598,1.0,403.0,30.0,t4_p95_pullback_3d,2022-03-08,0.368603610337252,0.4286507440825398,0.4404255596319831,0.4677220860493516,0.9850746268656716,0.9950124688279302,0.9975,1.0,1.0,0.95,0.04,0.00025,,,overlay1_high_iv_pullback,overlay1_high_iv_pullback,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-14,MA,CZCE,CZCE.MA205C3850,C,2022-04-07,24,,0.0378918821790655,12188.0,5811.0,6.0,3850.0,2970.0,C,,0.4811780289835123,0.517041451026533,0.517041451026533,0.4811780289835123,0.0358634220430206,208,208,1.0,12480.0,12480.0,0.00025,MA|C,,,,,False,0,,,,,,,False,,,0.1888098478169538,,False,321360.0,9434379.2,0.1952412124471201,25542956.55,1545.0,16532,False,iv_extreme_overlay,overlay1_high_iv_pullback,0,,,,,0.3555662995935152,0.9774436090225564,403.0,36.0,t4_p95_pullback_3d,2022-03-08,0.386275852677945,0.4350570624671787,0.4649208882090718,0.4850839890277477,0.8980099502487562,0.945137157107232,0.9675,0.9774436090225564,0.9774436090225564,0.95,0.04,0.00025,,,overlay1_high_iv_pullback,overlay1_high_iv_pullback,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-14,AL,SHFE,SHFE.al2204C26000,C,2022-03-25,11,,0.0174392560128844,2070.0,570.0,11.0,26000.0,21760.0,C,risk_reversal_t1_forced_rich_side,,,,,,227,227,1.0,12485.0,12485.0,0.00025,AL|C,,,,,False,0,,,,,,,False,,,0.1952412124471201,,False,1247365.0,9755739.2,0.2202046775389403,25221596.55,5495.0,4589,False,iv_extreme_overlay,overlay2_risk_reversal_same_sign,0,,,,,0.0387773812944437,0.9932885906040269,450.0,41.0,t3_p95_rr_2d_repair_same_sign,2022-03-10,0.0718117848489724,0.0747402418521036,0.1242112805741198,0.1009567300733551,0.933184855233853,0.9441964285714286,0.9932885906040269,0.984304932735426,0.9932885906040269,0.95,0.03,0.00025,,,overlay2_risk_reversal_same_sign,overlay2_risk_reversal_same_sign,risk_reversal_t1_forced_rich_side,2.0,C,0.0718117848489724,0.0747402418521036,0.1242112805741198,0.0718117848489724,0.0747402418521036,0.1242112805741198,0.3419192642455859,0.4137310490945584,0.3663007006528592,0.4410409425049628,0.3962987417154304,0.5205100222895502,,,,,,,,,,,,,
