product_key,exchange,product_label,entry_date,prev_expiry,target_expiry,contract_code,option_type,strike,dte,close,volume,close_oi,implied_vol,delta,abs_delta,moneyness,spot_close,multiplier,premium_margin,one_contract_margin,gross_premium_cash_1lot,put_iv_pressure,call_iv_pressure,put_candidate_count,call_candidate_count,sell_side,selected_side_iv_pressure,other_side_iv_pressure,side_iv_pressure_diff,feature_date,exchange_feature,product_label_feature,atm_iv,option_obs,total_volume,total_oi,iv_chg_1d,iv_rel_chg_1d,abs_iv_chg_1d,iv_jump_5pp,iv_jump_20pct,hist_iv_days_756,hist_median_iv_756,hist_iv_cv_756,hist_jump5pp_rate_756,hist_jump20pct_rate_756,hist_p95_abs_iv_chg_756,candidate_signal_days_252,candidate_rows_252,candidate_pm_median_252,candidate_oi_median_252,rolling_cs_score,rolling_cs_rank,rolling_cs_count,product,option_side_oi,option_side_volume,option_side_count,option_side_iv,fut_volume,fut_open_interest,fut_close,fut_settlement,futures_flow_source_table,opt_side_oi_x63,opt_side_volume_x63,opt_side_oi_z63,opt_side_volume_z63,opt_side_oi_chg5,opt_side_oi_chg20,opt_side_volume_chg5,opt_side_volume_chg20,fut_oi,fut_oi_chg5,fut_oi_chg20,fut_volume_x63,fut_volume_z63,fut_oi_x63,fut_oi_z63,flow_guard_pass,product_label_flow,expiry_pnl_per_premium,expiry_pnl_nonnegative,terminal_otm,path_stop25_safe,path_stop2_safe,shadow_prod_n12,shadow_prod_pnl_nonnegative,shadow_prod_terminal_otm,shadow_prod_stop25_safe,shadow_prod_stop2_safe,shadow_prod_pnlprem,shadow_side_n12,shadow_side_pnl_nonnegative,shadow_side_terminal_otm,shadow_side_stop25_safe,shadow_side_stop2_safe,shadow_side_pnlprem,shadow_pnl_nonnegative_blend,shadow_terminal_otm_blend,shadow_stop25_blend,shadow_stop2_blend,shadow_pnlprem_blend,shadow_score,pit_low_jump_strict,rule_l1_oi03,rule_l1_oi03_flow_guard,rule_l1_strict_low_rank15_oi03,rule_l1_oi03_optvol_x12,rule_l1_oi03_flow_guard_diff02,rule_l1_oi03_flow_guard_no_weak_pressure_flow,rule_l1_hsafe_core,rule_l1_hsafe_addon025,expiry_date,trade_date,side_rule,extra_contract_mode,target_premium_pct_override,l3eff015_tier,l4_diff02_weak_pressure,l4_diff02_delta_cap
CZCE|TA,CZCE,TA,2022-01-07,2022-01-06,2022-02-09,CZCE.TA203P4400,P,4400.0,33,7.0,1094,4224,0.3173665351480753,-0.0344360929864065,0.0344360929864065,0.8445297504798465,5210.0,5.0,0.026168224299065422,1337.5,35.0,0.2981958748201329,0.29472045907190747,7,2,P,0.2981958748201329,0.29472045907190747,0.0034754157482254078,2022-01-07,CZCE,TA,0.25183650330868446,34,49637,73425,0.015291994926467822,0.06464743160199897,0.015291994926467822,0.0,0.0,362.0,0.2487189740387889,0.15895164364790038,0.0027624309392265192,0.0055248618784530384,0.0249234443270695,76.0,186.0,0.043929604028450045,1883.0,0.779671052631579,4.0,19,TA,12940.0,10131.0,7.0,0.2981958748201329,2226666.0,2079420.0,5321.0,5242.0,future_daily_quote,1.7641445126107702,1.976780487804878,0.0097784446786187,1.080810722399796,1.604145703360837,1.0371536523929472,2.386029411764706,0.6111641221374047,2079420.0,0.0598865299269544,-0.0179704855601396,1.0673929414945456,0.0474842826472627,0.894738631175795,-1.097561718697076,True,TA,1.0,True,True,True,True,0.0,,,,,,0.0,,,,,,,,,,,,True,True,True,True,False,False,False,True,True,2022-02-09,2022-01-07,l4_diff02_delta04_l3eff015,l4_diff02_delta04_l3eff015,0.00075,base_or_cut,True,0.04
CZCE|CF,CZCE,CF,2022-02-10,2022-02-09,2022-04-07 00:00:00,CZCE.CF205P19000,P,19000.0,56,65.0,875,2542,0.2422559469211465,-0.0686817022310181,0.0686817022310181,0.8725602755453502,21775.0,5.0,0.056338028169014086,5768.75,325.0,0.29060419899759393,,8,0,P,0.29060419899759393,,,2022-02-10,CZCE,CF,0.19153718286331084,12,9245,52296,-0.005493275535338349,-0.027880336776275855,0.005493275535338349,0.0,0.0,381.0,0.20355831470507552,0.2313318224083935,0.015748031496062992,0.010498687664041995,0.027739800097901727,48.0,158.0,0.036615580558045514,2247.0,0.5834868421052631,9.0,19,CF,18885.0,2044.0,8.0,0.2906041989975939,150169.0,392086.0,21685.0,21710.0,future_daily_quote,1.0339447029838489,1.0064007877892664,-0.021888886466633,-0.1723857458084113,0.2660052289334316,7.17886530965786,-0.0759493670886075,5.509554140127388,392086.0,-0.109073639817491,-0.0635119674594019,0.6155804334548078,-0.8483926466903237,0.8968587094014553,-1.7582282348075744,False,CF,1.0,True,True,True,True,0.0,,,,,,0.0,,,,,,,,,,,,True,True,False,False,True,False,False,False,True,,2022-02-10,l4_diff02_delta04_l3eff015,l4_diff02_delta04_l3eff015,0.001,base_or_cut,False,0.08
CZCE|RM,CZCE,RM,2022-02-10,2022-02-09,2022-04-07 00:00:00,CZCE.RM205P2900,P,2900.0,56,17.0,888,2120,0.357130817675847,-0.0731739179989846,0.0731739179989846,0.824332006822058,3518.0,10.0,0.08812856402280975,1929.0,170.0,0.39446220168282564,,8,0,P,0.39446220168282564,,,2022-02-10,CZCE,RM,0.29169315853514544,14,12406,8843,0.011194732386108408,0.03991014331096574,0.011194732386108408,0.0,0.0,381.0,0.22171797108372818,0.1379594085380554,0.005249343832020997,0.005249343832020997,0.023313863274732713,57.0,114.0,0.04095084471154189,1758.0,0.7391447368421054,5.0,19,RM,20568.0,4216.0,8.0,0.3944622016828256,708604.0,503787.0,3444.0,3442.0,future_daily_quote,5.207088607594937,3.829246139872843,6.387952555897386,3.7377967292550034,1.82062534284147,6.567328918322295,0.6897795591182365,1.4497385241138874,503787.0,0.0618359402169674,0.0357590759754438,0.9904311971486476,-0.2966936085902337,1.170424527973125,0.9812187282401462,True,RM,1.0,True,True,True,True,0.0,,,,,,0.0,,,,,,,,,,,,True,True,True,False,False,False,True,False,True,,2022-02-10,l4_diff02_delta04_l3eff015,l4_diff02_delta04_l3eff015,0.0015,boost015,False,0.08
CZCE|TA,CZCE,TA,2022-02-10,2022-02-09,2022-03-03 00:00:00,CZCE.TA204P5000,P,5000.0,21,13.0,3157,1991,0.3820504867558957,-0.0558638368478645,0.0558638368478645,0.8680555555555556,5760.0,5.0,0.04318936877076412,1505.0,65.0,0.42592375327005094,,4,0,P,0.42592375327005094,,,2022-02-10,CZCE,TA,0.31735582114189864,36,24504,36301,0.0048160146527433945,0.015409284042384867,0.0048160146527433945,0.0,0.0,381.0,0.2512404063188709,0.16028568936293647,0.0026246719160104987,0.005249343832020997,0.02474671617459197,80.0,201.0,0.043929604028450045,1801.0,0.779671052631579,4.0,19,TA,6595.0,3784.0,4.0,0.4259237532700509,1443679.0,2071624.0,5648.0,5647.0,future_daily_quote,0.8918187964841109,0.7363300252967503,-0.4019823607396921,-0.526126244205081,-0.8081845151532778,1.5933936295713722,-0.7706249621143239,1.286404833836858,2071624.0,-0.0746419728711897,0.0452975526414447,0.767008231233208,-1.117304329960646,0.9527437054383854,-0.8254095521819768,True,TA,1.0,True,True,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,False,True,False,True,,2022-02-10,l4_diff02_delta04_l3eff015,l4_diff02_delta04_l3eff015,0.0015,boost015,False,0.08
SHFE|AL,SHFE,AL,2022-02-23,2022-02-22,2022-03-25 00:00:00,SHFE.al2204P20000,P,20000.0,30,21.0,453,2088,0.2453401444039257,-0.0326980589771298,0.0326980589771298,0.8806693086745927,22710.0,5.0,0.018158236057068743,5782.5,105.0,0.2453401444039257,,1,0,P,0.2453401444039257,,,2022-02-23,SHFE,AL,0.2156908261025135,48,5142,15391,-0.006049258685029202,-0.02728085312506856,0.006049258685029202,0.0,0.0,441.0,0.215189582509581,0.19906940087157818,0.0,0.0,0.02058535358407856,31.0,32.0,0.03924133420536298,1531.0,0.8109868421052632,2.0,19,AL,2088.0,453.0,1.0,0.2453401444039257,558558.0,495034.0,22717.5,22747.5,future_daily_quote,0.6549560853199499,0.5392857142857143,-0.5723287469442081,-0.5226964397988745,1.0350877192982455,-0.8204334365325078,-0.0679012345679012,-0.9277050750079796,495034.0,0.0376265765076517,-0.0108459783160359,0.9879163055589948,-0.2196209363141269,0.9734779881263508,-0.5362912355163026,True,AL,1.0,True,True,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,False,True,True,True,,2022-02-23,l4_diff02_delta04_l3eff015,l4_diff02_delta04_l3eff015,0.001,base_or_cut,False,0.08
SHFE|AU,SHFE,AU,2022-02-23,2022-02-22,2022-03-25 00:00:00,SHFE.au2204C424,C,424.0,30,0.64,1722,2894,0.2026768296994874,0.0662738162698118,0.0662738162698118,1.09312158399505,387.88,1000.0,0.014336660633321984,44640.799999999996,640.0,,0.2026768296994874,0,1,C,0.2026768296994874,,,2022-02-23,SHFE,AU,0.152564260975791,34,5040,6005,0.005069474710213018,0.034370534976639514,0.005069474710213018,0.0,0.0,477.0,0.16762676386853864,0.16111319790529077,0.012578616352201259,0.014675052410901468,0.024802113386765863,54.0,73.0,0.014137501947276303,1434.5,0.5264473684210527,10.0,19,AU,2894.0,1722.0,1.0,0.2026768296994874,157556.0,226153.0,388.96,389.29,future_daily_quote,0.7439588688946015,2.6656346749226008,-1.0594431040108028,1.714554850694194,-0.2822420634920635,-0.4046492491256943,0.6621621621621621,46.833333333333336,226153.0,0.2660486259230024,,0.9403016250992188,-0.3049835549884463,1.0638614152485564,0.5887451639578152,True,AU,1.0,True,True,False,False,0.0,,,,,,0.0,,,,,,,,,,,,True,True,True,False,False,False,True,False,True,,2022-02-23,l4_diff02_delta04_l3eff015,l4_diff02_delta04_l3eff015,0.001,base_or_cut,False,0.08
SHFE|CU,SHFE,CU,2022-02-23,2022-02-22,2022-03-25 00:00:00,SHFE.cu2204P62000,P,62000.0,30,54.0,1145,1881,0.2434142125231226,-0.0278602092028304,0.0278602092028304,0.8771929824561403,70680.0,5.0,0.015050167224080268,17940.0,270.0,0.2434142125231226,0.21840862996914706,1,2,P,0.2434142125231226,0.21840862996914706,0.02500558255397553,2022-02-23,SHFE,CU,0.16784169313602834,28,9972,11925,-0.0026690263882860055,-0.015653129584650014,0.0026690263882860055,0.0,0.0,477.0,0.19933175505863593,0.11820148573997362,0.0041928721174004195,0.0041928721174004195,0.019901292387407836,59.0,68.0,0.03869969040247678,1494.0,0.7840789473684211,4.0,19,CU,1881.0,1145.0,1.0,0.2434142125231226,126573.0,341897.0,71265.0,71250.0,future_daily_quote,0.4856700232378002,0.3514426028238183,-1.1140368821232012,-0.8575522406806155,-0.5143299767621998,-0.6123248145094806,-0.7579792855633058,-0.7242292870905588,341897.0,0.0378441550557022,-0.0878027566260946,0.6996268966089048,-1.1978131535933458,0.9919229664530392,-0.0623359150248853,True,CU,1.0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True,True,True,,2022-02-23,l4_diff02_delta04_l3eff015,l4_diff02_delta04_l3eff015,0.001,base_or_cut,False,0.08
CZCE|MA,CZCE,MA,2022-03-04,2022-03-03,2022-04-07 00:00:00,CZCE.MA205P2600,P,2600.0,34,11.0,2184,3529,0.3805064432907629,-0.0670319858703106,0.0670319858703106,0.8460787504067686,3073.0,10.0,0.06680838141512299,1646.5,110.0,0.3976893418541707,,7,0,P,0.3976893418541707,,,2022-03-04,CZCE,MA,0.3470711997978821,26,26378,21957,-0.02171014467160376,-0.058869964539109504,0.02171014467160376,0.0,0.0,397.0,0.26450826655715787,0.21694260367722457,0.017632241813602016,0.010075566750629723,0.029788794029610016,62.0,130.0,0.05647781896560823,1465.5,0.6186184210526317,8.0,19,MA,18130.0,5297.0,7.0,0.3976893418541707,1276323.0,918502.0,3060.0,3090.0,future_daily_quote,5.218767990788717,2.843263553408481,2.958184334035772,0.5784994801651562,2.5033816425120774,3.973936899862826,0.3315736551030668,4.477766287487073,918502.0,0.0008444777150502,-0.0325172508592512,0.9725114084969586,-0.3824889278434085,0.9674827491407488,-0.2552700663970191,True,MA,1.0,True,True,True,True,2.0,1.0,1.0,0.5,0.5,1.0,0.0,,,,,,1.0,1.0,0.5,0.5,1.0,0.8250000000000001,True,True,True,False,False,False,True,False,True,,2022-03-04,l4_diff02_delta04_l3eff015,l4_diff02_delta04_l3eff015,0.0015,boost015,False,0.08
SHFE|CU,SHFE,CU,2022-03-26,2022-03-25,2022-04-25,SHFE.cu2205P62000,P,62000.0,30,36.0,6,1267,0.2786668071343532,-0.0166792748705003,0.0166792748705003,0.8464163822525598,73250.0,5.0,0.0097336758145194,18492.5,180.0,0.2786668071343532,0.2622250724779214,1,1,P,0.2786668071343532,0.2622250724779214,0.01644173465643184,2022-03-26,SHFE,CU,0.17740685069653733,42,111,8646,0.005102589989972234,0.02961383525310478,0.005102589989972234,0.0,0.0,504.0,0.19936950111612664,0.11826401745561585,0.003968253968253968,0.003968253968253968,0.020171982622400577,58.0,68.0,0.03900946901303792,1508.5,0.8039473684210526,2.0,19,CU,1267.0,6.0,1.0,0.2786668071343532,,,,,,0.3856925418569254,0.0028721876495931,-1.442164367355691,-1.2204433051361796,-0.2776510832383124,-0.672863413374645,-0.9853300733496332,-0.9987317691819912,,,,,,,,True,CU,1.0,True,True,True,True,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,False,True,True,True,2022-04-25,2022-03-26,l4_diff02_delta04_l3eff015,l4_diff02_delta04_l3eff015,0.001,base_or_cut,True,0.04
SHFE|AL,SHFE,AL,2022-03-28,2022-03-25,2022-04-25 00:00:00,SHFE.al2205P20000,P,20000.0,28,33.0,228,1955,0.2975626027563111,-0.0415956681849443,0.0415956681849443,0.8699434536755111,22990.0,5.0,0.027906976744186046,5912.5,165.0,0.2975626027563111,,1,0,P,0.2975626027563111,,,2022-03-28,SHFE,AL,0.25181728477135334,66,5221,12754,-0.007490993469855267,-0.02888836993814422,0.007490993469855267,0.0,0.0,469.0,0.21794852262050615,0.20202130154543693,0.0021321961620469083,0.0021321961620469083,0.022039833485627748,38.0,39.0,0.04056824901665995,1533.0,0.7996052631578947,3.0,19,AL,1955.0,228.0,1.0,0.2975626027563111,383494.0,457436.0,22985.0,22965.0,future_daily_quote,0.623405612244898,0.2704626334519573,-0.6793660722685688,-0.7654465128585239,-0.7039672925499697,-0.376594387755102,-0.8788522848034006,0.3491124260355029,457436.0,,-0.0137767179933854,0.6393911100736936,-1.0001328810091503,0.9128054085550316,-1.2338332294119867,True,AL,1.0,True,True,False,False,2.0,1.0,1.0,0.5,0.5,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.8250000000000001,True,True,True,True,True,False,True,False,True,,2022-03-28,l4_diff02_delta04_l3eff015,l4_diff02_delta04_l3eff015,0.001,base_or_cut,False,0.08
SHFE|ZN,SHFE,ZN,2022-03-28,2022-03-25,2022-04-25 00:00:00,SHFE.zn2205C31500,C,31500.0,28,78.0,1264,1191,0.4004670558027465,0.0637463830922293,0.0637463830922293,1.1913767019667172,26440.0,5.0,0.055714285714285716,7000.0,390.0,,0.4004670558027465,0,1,C,0.4004670558027465,,,2022-03-28,SHFE,ZN,0.26153200986041636,20,1362,3281,-0.005935384065158922,-0.02219105655476826,0.005935384065158922,0.0,0.0,469.0,0.21780273105487058,0.17014378478206446,0.01279317697228145,0.006396588486140725,0.022697654222661588,6.0,6.0,0.04751867711468945,1168.5,0.6449999999999999,6.0,19,ZN,1191.0,1264.0,1.0,0.4004670558027465,124818.0,102567.0,26315.0,26245.0,future_daily_quote,0.7903118779031187,1.2049571020019063,-0.7730634085804055,0.1496122312114735,-0.576307363927428,-0.1098654708520179,-0.5508173418621181,-0.0581222056631892,102567.0,0.1793105827162764,,0.6475776410405404,-1.3119353755300618,1.1445293756625563,0.7000739492088118,True,ZN,1.0,True,True,True,True,0.0,,,,,,0.0,,,,,,,,,,,,True,True,True,False,False,False,True,False,True,,2022-03-28,l4_diff02_delta04_l3eff015,l4_diff02_delta04_l3eff015,0.0015,boost015,False,0.08
CZCE|CF,CZCE,CF,2022-04-08,2022-04-07,2022-06-06 00:00:00,CZCE.CF207C24000,C,24000.0,59,61.0,594,4747,0.2111304651646716,0.0777009236836423,0.0777009236836423,1.1320754716981132,21200.0,5.0,0.054415700267618196,5605.0,305.0,,0.2111304651646716,0,1,C,0.2111304651646716,,,2022-04-08,CZCE,CF,0.1499570157429208,10,3388,7053,0.005153622448513445,0.03559048121224166,0.005153622448513445,0.0,0.0,420.0,0.20125198770217625,0.23150533210627702,0.014285714285714285,0.009523809523809525,0.026937173634733563,50.0,224.0,0.03718407350676531,1889.5,0.5994736842105262,9.0,19,CF,4747.0,594.0,1.0,0.2111304651646716,117988.0,237223.0,21605.0,21570.0,future_daily_quote,1.3535785571713714,0.3593466424682395,-0.4298775500392456,-0.7213079793698572,-0.8013475058587212,-0.746136157013744,-0.9317476732161324,-0.8773234200743494,237223.0,-0.2495555344658505,-0.3951879783594152,0.569404429258782,-1.8311636672168603,0.6013089622342597,-3.1577489114195174,True,CF,1.0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False,True,False,True,False,True,,2022-04-08,l4_diff02_delta04_l3eff015,l4_diff02_delta04_l3eff015,0.0015,boost015,False,0.08
DCE|C,DCE,C,2022-04-12,2022-04-11,2022-06-08 00:00:00,DCE.c2207-C-3160,C,3160.0,57,6.0,148,5803,0.1576809773359994,0.0761206834791704,0.0761206834791704,1.0953206239168112,2885.0,10.0,0.03821656050955414,1570.0,60.0,0.1470128826894097,0.1746249593997306,8,4,C,0.1746249593997306,0.1470128826894097,0.0276120767103209,2022-04-12,DCE,C,0.11674633729307905,26,14728,51843,-0.002800864028878594,-0.023428938510534163,0.002800864028878594,0.0,0.0,420.0,0.13613736061367826,0.1521908529643125,0.007142857142857143,0.03333333333333333,0.023777864606260014,61.0,277.0,0.020087867128057456,3009.5,0.655921052631579,6.0,19,C,16355.0,967.0,4.0,0.1746249593997306,277911.0,919086.0,2919.0,2913.0,future_daily_quote,0.641649338930519,0.1934386877375475,-0.7914900011964501,-1.0614034742846108,-0.6545350851252587,11.658668730650154,-0.8813351331451712,-0.3233030090972708,919086.0,-0.0516478527354149,-0.292757249906505,0.6439012523024524,-1.386423968706753,0.8690619264515238,-1.4442051212103713,True,C,1.0,True,True,False,False,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.65,True,True,True,False,True,True,True,False,True,,2022-04-12,l4_diff02_delta04_l3eff015,l4_diff02_delta04_l3eff015,0.0015,boost015,False,0.08
SHFE|AU,SHFE,AU,2022-04-26,2022-04-25,2022-05-25 00:00:00,SHFE.au2206P332,P,332.0,29,0.1,17,1153,0.2918981679963187,-0.0088071727727282,0.0088071727727282,0.8254189249664362,402.22,1000.0,0.003098123776241108,32277.600000000006,100.0,0.2918981679963187,0.25106229610090325,1,2,P,0.2918981679963187,0.25106229610090325,0.04083587189541543,2022-04-26,SHFE,AU,0.16737881653020278,42,5111,7170,0.003479739379106145,0.02123098823734202,0.003479739379106145,0.0,0.0,527.0,0.16919243132407566,0.16695154293450784,0.013282732447817837,0.018975332068311195,0.026965141606634976,50.0,58.0,0.013828262933124795,1681.0,0.5368421052631579,10.0,19,AU,1153.0,17.0,1.0,0.2918981679963187,204046.0,245509.0,402.95,402.89,future_daily_quote,1.0368705035971224,0.1410788381742738,-0.6826391558174028,-0.9158451188319476,0.0656192236598891,-0.71318407960199,-0.8930817610062893,-0.8963414634146342,245509.0,0.0860394852671204,0.4084942572257983,1.2222641532038263,0.6344900237720329,1.1437322972570063,1.198260477253569,True,AU,1.0,True,True,True,True,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,,,,,1.0,1.0,0.0,0.0,1.0,0.65,True,True,True,False,True,True,True,False,True,,2022-04-26,l4_diff02_delta04_l3eff015,l4_diff02_delta04_l3eff015,0.001,base_or_cut,False,0.08
